composition,Mean VEC,electronegativity_difference,Atomic_Radius_Difference,Calculated_Youngs_Modulus,Mixing_Enthalpy,Mixing_Entropy,Work_Function,Shear_Modulus_G,MOd_Missmatch,shear_modulus_difference,melting_Temp,cohesive_enrg,Ionization_enrg,Pauling_electronegativity
Hf0.96 Si1.27,5.721973094170403,0.3417040358744392,27.336322869955158,122.92825112107624,-75.51199501297029,5.682231958113916,3.331838565022421,39.681614349775785,-0.0211214210405638,0.04499708772646,2039.57399103139,5.228385650224215,7.580165919282511,0.1765215467835668
Hf0.7 Si0.61,6.137404580152671,0.3206106870229008,25.648854961832058,126.7709923664122,-76.63655964104655,5.743189135332256,3.0451908396946563,37.91603053435114,-0.0223614172195634,0.0500192755982518,2124.63358778626,5.372748091603052,7.4424503816793885,0.1791503991608879
Ta1.19 W1.04,9.466367713004484,0.4589237668161434,3.735426008968602,290.93273542600895,-6.968328339600635,5.744003008485508,1.5047085201793722,111.90582959641256,-0.0698823532246744,0.1682057380704623,3478.878923766816,8.473094170403588,7.877874439461882,0.3681268314263306
Ta1.13 W1.13,9.5,0.4300000000000001,3.5,298.5,-7.0,5.762825659175385,1.5,115.0,-0.0683760683760683,0.1599999999999999,3492.5,8.5,7.877,0.3697999999999999
Fe1.47 B0.78,6.266666666666667,0.1372,26.78666666666666,293.8533333333333,-23.554844444444445,5.365512389127933,1.719066666666667,112.50666666666666,-0.0540885342398381,0.1385656968574256,1997.506666666667,4.782666666666668,8.03928,0.0199763199999999
Fe0.75 B1.04,5.094972067039107,0.1220111731843573,23.821229050279328,349.86033519553075,-25.317561873849133,5.653231899907807,2.1713407821229054,133.12849162011173,-0.0491106860656122,0.1063682128040468,2123.5810055865923,5.12245810055866,8.132078212290503,0.0214712399737835
Ba0.6 Ag1.18,7.966292134831461,0.6894382022471911,71.59550561797752,59.40449438202248,-25.02714303749527,5.313300495442092,1.3538202247191014,21.57303370786517,-0.1519520701970411,0.3000895182291666,1155.7401123595507,2.4342696629213485,6.779146067415731,0.4833813912384801
Ba1.13 Ag1.27,6.7625,0.5503333333333332,57.150000000000006,50.04166666666666,-27.904722222222222,5.748672278768518,1.49025,18.229166666666668,-0.1941364286952623,0.4686040816326531,1124.317125,2.2296250000000004,6.462949999999999,0.5389597777777778
Mg1.29 Nb1.07,3.3601694915254234,0.1585169491525424,0.5466101694915437,72.20338983050847,31.72191898879632,5.726648694644099,1.6971610169491522,26.521186440677965,-0.0643382375525888,0.1553825249270065,1751.343220338983,4.257542372881356,7.243843220338983,0.0416845841712151
Mg1.2 Nb0.52,2.9069767441860463,0.202325581395349,0.6976744186046346,63.13953488372093,26.998377501352085,5.095001311008078,1.8013953488372092,23.348837209302324,-0.0631606673884059,0.1706222917096554,1475.3488372093025,3.3420930232558144,7.377837209302326,0.0354775554353704
La1.43 W0.63,5.140776699029126,0.8746601941747572,38.87378640776697,151.37864077669903,27.173908945235173,5.119092079626898,2.5892718446601943,67.98058252427184,-0.2399445371128458,0.8248632964947951,1958.174757281553,4.67247572815534,6.276422330097086,0.6740827787727398
La1.2 W0.73,5.647668393782383,0.7834196891191709,34.81865284974094,178.46113989637306,30.102284625090608,5.513804225998454,2.468341968911917,77.6839378238342,-0.229498438816486,0.699739871492265,2139.3523316062174,5.113471502590674,6.442031088082901,0.7467247979811537
Cu0.68 Sn1.13,6.629834254143646,0.0374585635359117,21.226519337016555,80.05524861878453,6.567320899850432,5.5031613188488855,2.854198895027624,29.38342541436464,-0.0932140407024018,0.2494081366114832,825.4276243093923,3.2714917127071823,7.487513812154695,0.0016887396599615
Cu1.17 Sn1.18,7.485106382978724,0.0301276595744683,17.072340425531905,89.82978723404256,6.999873245812587,5.762750385068627,2.491319148936171,33.08553191489362,-0.0879641508451838,0.209672348257801,929.6107659574468,3.314255319148937,7.5341872340425535,0.001799967406066
Co0.61 Re0.68,10.054263565891471,0.0105426356589144,6.325581395348848,342.8914728682171,1.9941109308334837,5.750579214764695,1.2250387596899226,129.29457364341084,-0.0690703196470975,0.1581878705279407,2659.3798449612405,6.240232558139535,7.880472868217055,0.0001994110930833
Co0.81 Re1.08,10.142857142857142,0.0114285714285713,6.857142857142861,354.1428571428571,1.9591836734693877,5.677697982479722,1.241428571428571,133.85714285714283,-0.0658547619875829,0.1450028417859857,2734.285714285714,6.395714285714286,7.880428571428571,0.0001959183673469
Be0.56 Si0.93,3.248322147651006,0.2059731543624157,3.744966442953,174.6510067114094,-14.075041664789872,5.503787205856605,3.572885906040268,78.9463087248322,-0.1006364496582366,0.2719397117988892,1639.268456375839,4.152684563758389,8.591107382550335,0.0510924012431871
